Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
ConnectEd: The California Center for College and Career,Linked Learning: Pathways to College and Career Success The California Linked Learning District Initiative,Berkeley,CA,94704,"""To achieve lasting, effective, and widespread changes in California?s high schools to improve outcomes forstudents, the Initiative has four overarching goals: 1) Produce measureable gains in student engagement,achievement, high school graduation, and postsecondary transition by designing, implementing, and expandinga menu of six to eight high quality Linked Learning Pathways in each district, delivering industry-focusedprograms of academic and technical study that are aligned with state standards and assessments; 2) Sustainhigh quality delivery and greater student success by building district-wide system supports (e.g., policiesaffecting pathway design and location, school choice, assignment of teachers and principals, professionaldevelopment, pathway certification, and accountability); 3) Foster systemic and high quality expansion toother schools and districts throughout the state by using the Partnership?s experience to inform state policy;and 4) Provide the evidence and the knowledge base that will support high school redesign elsewhere inCalifornia and the rest of the country.Through career academies and other similar delivery strategies, Linked Learning connects college-preparatoryacademics with real-world experience in a wide range of fields, such as engineering, arts and media,biomedicine and health, information technology, and law and justice, to name just a few. These pathwaysconnect learning with students? interests and career aspirations, leading to improved outcomes on a wide rangeof indicators, and particularly for students with high needs. Based on research from MDRC and others, there ismoderately strong evidence from experimental and quasi-experimental studies indicating that academiesproduce significant increases on a range of student outcomes. This Initiative represents one of the mostambitious and innovative efforts in the United States to transform high schools and the future prospects ofyoung people.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,22792046,No,"Berkeley, CA
(37.8706, -122.262)"
"Connecticut Center for Advanced Technology, Inc",CT-CARES: Connecticut Consortium to Advance Real-world Education in Science,East Hartford,CT,6108,"""The Connecticut Center for Advanced Technology, in partnership with the CT RESC Alliance, FIRST Robotics, and Talcott Mountain Science Center, proposes an Investing in Innovation initiative titled 'CT-CARES: Connecticut Consortium to Advance Real-world Education in Science,' an interdisciplinary program for grades 4-8 consisting of instruction day STEM units integrating a robotics theme in support of the Connecticut Framework, augmented by out-of-school programming, ongoing high-quality teacher professional development, and higher education and industry mentoring. CT-CARES will promote STEM interest, achievement, and student awareness of future career opportunities in STEM fields. The broad-based consortium of the state's Regional Education Service Centers, higher education partners, informal education providers, and organizations will ensure statewide implementation of program offerings and validate current research on best practices to achieve successful student outcomes.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Validation,,20585023,No,"East Hartford, CT
(41.7767, -72.6229)"
"Cook Inlet Tribal Council, Inc.",Growing Graduates,Anchorage,AK,99508,"""A Development Grant under the Investing in Innovation Fund, IUS Department of Education, Growing Graduates will improve Graduation rates and academic achievement in language arts, math, and science for 380 Alaska native students, K-12, in eight schools.  Cook Inlet Tribal Council, Inc. will administer the project partnership with Anchorage School District.  Success will b gauged by standardized tests, GPA, graduation rates, and admission to post-secondary educational programs.  As a Development grant, Growing Graduates will also test tihe effectiveness of a unique that is team-based, speaks to the whole stiudent (mind, body, and spirit), engages stiudent in establishing personal plans for education from the earliest years on, increases parental involvement, and works with students logitiudinally from kindergarten through gradiuation.The project design was suggested by evaluation results from previous projects:  not surprisingly, kthe longer and more involved students are in oiur porgrams, the greater their academic gains.  More surprising, a short-term targeted approach (e.g., remediation in a particular subject) was found to be far less effective  Thus Growing Gradiuates was born, wherein we focius our efforts an resources on students in four elementary schools, tihe two middle schools tihey feed into, and the two high schools the middle schools feed into.  The project's special features include a team in each school composed of a gradiuate advocate to help stiudents set and meet goals; academic teachers to work with stiudents after shool and increase contact hours, particularly in math; an ombudsman to help bridge cultural land communication gaps between parents and school; and fitness and culture teachers to supplement academics with physical education, dance, and otkher cultiural activities.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success",N/A,Development,3 years,4999998,No,"Anchorage, AK
(61.2013, -149.816)"
Cooperating School Districts,Improving Student Achievement by Implementing Information and CommunicationsTechnology Literacy Standards,St. Louis,MO,63146,"""Cooperating School Districts' (CSD), the Regional Professional Development Center, and vendors will provide PD & resources for educators to integrate technology in classrooms. In the 1st 2 years, 200 teachers will receive support through blended learning, focusing on Information & Communications Technology (ICT) Literacy Standards. MO ICT Standards are based on 2007 ISTE National Educational Technology Standards for Students, American Association of School Librarians, MO Department of Higher Education Curriculum Alignment and other state standards. Starting in 1/2011, 200 teachers (Cohort A) will receive 156 hours of PD on strategies for implementing ICT standards into curriculum & development of formative assessments of ICT literacy. In the fall of Year 1, Cohort A members are required to mentor 3 teachers in their districts, using the same type of PD. In Year 3, 200 more teachers (Cohort B) begin 2-year PD, each then mentoring 3 additional teachers. In Year 5, Cohort C starts & replicates Cohorts A & B. Over 5 years, 1,800 teachers & 95,000 students will benefit. Over 94 hours, building principals get PD from CSD. The PD goal is to raise the priority level of ICT literacy & administrative support for standards-oriented skills teaching. A total of 75 principals will participate; before & after the PD, they will be assessed by levels of NETS-A proficiency using Level of Technology Integration & Vanderbilt Assessment for Leadership in Education instruments. Principal support of staff will be measured by the percentage of teachers in each school who use at least 1 ICT assessment tool. Principals are required to develop an action plan for technology integration in buildings. During classroom visits, PD facilitators will observe implementation of action plans. As staff receives training, the expectation is students will raise ICT skill levels. Students will be assessed based upon NETS-S & NCREL rubrics. Teachers are required to develop grade level assessments.???""",AP3: High Standards and High-Quality Assessments,"CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Development,5 years,4998712,No,"St. Louis, MO
(38.6952, -90.4586)"
Cooperative Educational Service Agency,Math Achievement for College Readiness,Green Bay,WI,54304,"""This proposal seeks to dramatically improve mathematics knowledge of rural Wisconsin students in Grades 8-12and, in the process, validate the success of Cognitive Tutor? with over 30,000 middle and high schoolstudents. Our evaluation plan will provide us with key information about the implementation considerationsthat lead to greatest success. Professional development and locally-based coaches are key components. As aresult of the intervention, more students are expected to achieve the benchmarks set by Common Core StateStandards (CCSS) for college and career readiness and decrease the achievement gap for students in rural andminority populations.Wisconsin intends to adopt the CCSS which are more rigorous than the state?s existing standards. The CarnegieLearning mathematics curricula, which are aligned with the CCSS draft and will align with the final standards,will play a crucial role in supporting this transition. The curricula will provide students access to an intelligenttutoring system that provides differentiated mathematics instruction through ongoing formative assessment,and provides teachers detailed data about student performance to inform classroom practices and prepare allstudents for college and careers.Students will use Carnegie Learning curricula for Algebra Readiness, Algebra I, Geometry, and Algebra II. Thecurriculum blends student-centered instruction in the classroom and self-paced learning using the CognitiveTutor. Students will spend 60% of the time in the classroom using the textbooks in an approach that involvestask-based lessons, collaborative learning, and real-world problems contexts. The remaining 40% of students'time will be spent learning on the Cognitive Tutor software.Using a randomized controlled trial (RCT) design, independent evaluator RAND Corp. will conduct anindependent evaluation of the effects of the curricula on student mathematics achievement and rates ofAlgebra II completion and college enrollment.""",AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,LEA,Validation,5 years,29105363,No,"Green Bay, WI
(44.5032, -88.0674)"
Cooperative Educational Service Agency #7,Frameworks Math Academy,Green Bay,WI,54304,"""Cooperative Educational Service Agency #7, Green Bay, Wisconsin, wishes to propose for i3 Development funding an innovative math professional development program that currently serves as a model of best practices in northeastern Wisconsin. Frameworks Math Academy is poised to be shared and taken to scale based on its demonstrated success. CESA will build on current K-2 and 3-5 grade bands by designing complementary PK and 6-8 grade bands, as well as a distinct strand for building principals. CESA will invest ARRA funds to systematically study efficacy of Frameworks as a high-potential but relatively untested training program. Frameworks enables teachers to understand math concepts identified by the Common Core State Standards, to use deepening knowledge of math to select rich math tasks, to draw out students? higher order thinking skills, and to select math tasks of greater cognitive complexity. Teachers trained through Frameworks will advance their ability to answer classroom questions and stretch math concepts covered, to help students communicate a sense of math to their peers, and to choose instructional materials that will authentically implement a standards-based classroom. Frameworks Math Academy will cost-effectively and efficiently serve an estimated 61,280 students through professional development training for 1600 teachers over the project?s five-year timespan. The project meets i3?s absolute priority of supporting effective teachers and principals, as well as preference priorities for improving early learning outcomes and serving schools in rural districts. CESA has enlisted four private sector partners: Carnegie Learning, School Improvement Network (PD-360), Riverside Publishing division of Houghton Mifflin Harcourt, and Texas Instruments; these firms are contributing matching cash and in-kind funding representing 21.7% of the Federal grant amount requested.""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP8: Rural LEAs",LEA,Development,5 years,4991130,No,"Green Bay, WI
(44.5032, -88.0674)"
Cooperative Educational Service Agency 12 (CESA 12),Rural Community School Alliance Project,Ashland,WI,54806,,AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,Nonprofit w/ LEA,Development,5 years,4992960,Yes,"Ashland, WI
(46.5906, -90.8787)"
Coosa County School System,Creating a Learning Culture,Rockford,AL,35136,"""Coosa County Schools have consistently ranked in the lowest 5% of schools within the State of Alabama.  In order to change this downward trend, the Board of Education is excited to implement a Total School Transformation plan, that addresses needs for changes in instruction and use of technological assets, but more importantly, addresses the culture within the schools.  Traditional instructional models, i.e. teaching to the bell curve, where some students are statistically expected to fail, are no longer acceptable in our district.  Unwilling to remain at the bottom with persistently low-achieving schools, the Board of Education is embracing comprehensive instructional strategies, informed by data driven research assessment tools, to implement a prescriptive, individualized learning program, constantly monitoring and measuring mastery of standards, and adapting instructional components for successful mastery by each student. Data, technology and instruction modules will be introduced to created individualized learning modules for each student.  The goal of this transformative process is create positive changes for our students, demonstrating that each student has the ability to master and learn concepts, and remediate learning deficits, but most importantly, places our children on a pathway to success.""",AP4: Persistently Low-Performing Schools,CP8: Rural LEAs,LEA,Development,3 years,5576537,No,"Rockford, AL
(32.8636, -86.2713)"
Copiague Public Schools,Copiague Learning as One Community (CLOC),Copiague,NY,11726,"""Copiague Learning as One Community (CLOC() will establish an innovative, inquiry-base, district-wideprofessional development model to integrate best pedagogical practices to bolster student learning.  Building on past success improving math instruction, utilizing the effective, research-based approach, Japanese Lesson Studyi methodology (JLS), PK-12 teachers will engage in this dynamic process, which centers on collective and reflective reseaerch, design, implementation, and refinement of lessoons to measure and improve performance.  This practice will be guided by our higher education partner, William Patterson University's Center for Lesson Study, along with our in-house JLS curricular expert and accomplished project director.  Teachers on each grade level in the District's three elementary schools and in the Math, English, Science, Social Studies, Foreign Language, and Counseling Departments on the secondary level, will collaboratively determine an area of  student learning in need of improvement, research current best practices for instruction to enhance student understanding and performance in this area, design a lesson based on this synthesis, collectively observe the lesson (taught by one of the teacher-participants) and gauge the success of student learning, redesign the lesson based on the data gathered, and again collectively observe the lesson (taught by another teacher) to assess the effect on student learning.  In addition to fostering formative assessment rooted in the lesson study method, our design also incorporates authetic assessments in the form of project-based learning.  We aim to provide research-enriched, technology-mediated paths for students to attain higher levels of achievement and participation in high quality academic content and assessments that link them to real-world knowledge and skill sets essential for twenty-first century learning, living, and leading.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,3 years,1516640,No,"Copiague, NY
(40.6808, -73.3936)"
Core Knowledge Foundation,Core Knowledge  Language Arts,Charlottesville,VA,22902,"""In partnership with New York City and New York State, the Core Knowledge Foundation (CKF) proposes to create, field test, and evaluate the Core Knowledge Language Arts program, a rigorous and systematic approach to teaching CK in grades K-5 during the English Language Arts.  The program consists of carefully sequenced instruction in encoding and decoding, combined with a careful sequence of engaging oral and written narratives, designed to impart the knowledge and vocabulary most critical to literacy and learning.  Its salient features are (1) its systematic use of oral language to convey knowledge and vocabulary;  (2) its data-supported selection of topics, taught over several weeks; (3) its balance of fictional and non-fictional narrative; (4) its highly effective decoding-encoding program; and (5) its congruence with the new Common Core State Standards, which call for a curriculum that is 'coherently structured to develop rich content knowledge within and across grades.' ?        Data gathered over the past two decades show that teaching the domains outlined in the Core Knowledge (CK) Sequence raises verbal achievement and narrows the gap between demographic groups in proportion to the fullness and faithfulness of Core Knowledge implementation.  At present, implementation varies widely from school to school and even teacher to teacher.   ????""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,5 years,26969910,No,"Charlottesville, VA
(38.0003, -78.4636)"
Corinth School District,Young Athletes Program supports Mississippi?s efforts to transition to standards and assessments that measure and promote students? progress toward college- and career-readiness.,Corinth,MS,38834,,,,(not provided),Development,,4998605,No,"Corinth, MS
(34.9362, -88.5126)"
Cornerstone Academy,Ohio School Leadership Consortium,WESTERVILLE,OH,43081,"""The professional development model for administrators is the backbone of the academic program at Cornerstone Academy and Columbus Preparatory Academy and one of the primary reasons for our academic success.  The goal of the program is to address the large gaps in professional development for school administrators, a largely unmet need for leaders of new and turn-around schools.  Through this program, Cornerstone Academy and its partners will (1) expand and develop our innovative professional development practices to enable it to serve as a model of best practice, (2) partner with the private sector including Mosaica Education, University of Southern California and other schools in the state of Ohio, and (3) document best practices in professional development that can be shared and taken to scale based on demonstrated success.  To address Priority 1, Cornerstone Academy and its partners will form the Ohio School Leadership Consortium to help build capacity by expanding the Mosaica Leadership Institute and offering it to other school administrators.  The Mosaica Leadership Institute (MLI) will fill this gap by expanding our year long training program which pairs classroom instruction with strong mentoring and hands-on assignments to other charter school leaders and future leaders.  The program addresses the first priority by increasing the number of highly effective principals hired in charter schools (Calkins, A., Guenther, W., Belfiore, G, and Lash, D. (2007).  Participants will receive training in identifying, recruiting, developing, placing, rewarding, and retaining highly effective teachers.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",LEA,Development,3 years,4958609,No,"WESTERVILLE, OH
(40.1101, -82.9074)"
Corona-Norco Unified School District,Write Up,Norco,CA,92860,"Currently in our schools we are reporting between a 20% to 60 % proficiency gap in our ELA scores in the areas of written conventions, writing strategies and writing applications for our high needs groups - ELs, SED and SWD when compared with our overall scores.  To close this gap we propose to add specific components to our writing program that will provide more immediate information and support in identified areas of need for our students.  Our Write Up program includes: o	Implementation of Cte Writer, a powerful online writing program, in 5 schools.  The i3 grant funding will provide 3 elementary schools, 1 intermediate school and 1 high school with the technology and support to implement Cte Writer.  Teachers at these schools will be provided professional development in the use of these tools in the teaching of writing and how to use the information from the Cte writer to be more prescriptive in their instruction.  Curriculum coaching in effective teaching of writing especially with our high needs populations will be provided.   o	Calibration of Corona-Norco Unified School District Curriculum with Discovery Education to provide visual and audio media that will enhance the acquisition and support of background knowledge that will be used in the writing process.  Professional Development will be provided by Discovery Education and  a coaching component will be integrated in this process.    o	At the high school level, teachers have identified writing mechanics, grammar and the use of academic vocabulary in the writing process as areas of need.  To address this need, we propose to develop online lessons and courses to support the teaching of writing in the secondary schools.  These tools will focus on the areas identified as needs.  Professional Development will be provided to support these efforts.  Curriculum coaching in effective teaching of writing especially with our high needs populations will be provided.",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,5 years,5000000,No,"Norco, CA
(33.9256, -117.552)"
Corpus Christi Independent School District,Developing a Comprehensive College Readiness System:  Simultaneous Implementation of the College Board SpringBoard Pre-Advanced Placement Curriculum and the AVID College Readiness System,Corpus Christi,TX,78403,"""The Corpus Christi Independent School District (CCISD) will create a model for district-wide implementation of both the College Board SpringBoard Pre-Advanced Placement (Pre-AP) curriculum and the AVID College Readiness System.  Objective 1 is to expand the SpringBoard Pre-AP curriculum system from limited to full implementation throughout five high schools and twelve middle schools, while simultaneously implementing the AVID system within the same schools.  Objective 2 is to implement the AVID elementary program district-wide in 39 elementary schools in grades 4 and 5.  Objective 3 is to implement a specialized AVID program for students attending the Regional Day School Program for the Deaf.  Objective 4 is to implement the AVID Limited English Proficient (LEP) program for all secondary LEP students within the district. The pairing of the AVID system with the implementation of a Pre-AP curriculum system will (1) significantly increase the number of students participating in AP courses (2) significantly increase the number of students taking one or more AP tests (3) significantly increase the number of students receiving a score of 3 or higher on AP tests (4) significantly increase the number of students graduating under the recommended and/or distinguished achievement graduation plan (5) significantly increase the number of students accepted to post-secondary institutions and (6) significantly increase the number of students successfully graduating college within five years of initial enrollment. By the end of Project Year 5, approximately 11,450 secondary students will have enrolled in or will be taking Pre-AP courses supported by the SpringBoard Pre-AP curriculum, and  25,500 students will participate in the AVID system.  A unique project feature of the CCISD Comprehensive College Readiness System will be the inclusion of special needs students attending the Regional Day School Program for the Deaf and students who are identified as LEP.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,5 years,4629300,No,"Corpus Christi, TX
(27.7864, -97.396)"
"Cosmos Foundation, Inc.",Cosmos Connexions I3 Program (CCI3P),Houston,TX,77099,"""The proposed project, Cosmos Connexions I3 Program (CCI3P), will be a powerful and innovative approach to improve student performance and close achievement gap for high need students on a large scale. The program aims to expand scope and scale of an existing and successful performance management system into an open educational resources repository of assessments, remediations, lesson plans, and professional development materials. The project targets to reach more than 500,000 students in grades kindergarten through 12. The program also targets to create a learning machine that provides statistical feedback to educators for student remedial work. Validation grant is requested to fund the grant activities. As part of CCI3P, workshops will be organized for teachers; an open source assessment bank will be created on Connexions; where teachers, students, and parents can create and share assessment materials; lenses will be created for different end-user communities (schools, districts, states, LEP students, etc.) where resources will be labeled accordingly. Project objectives are (1) build an integrated system of open access of assessment and curriculum and teacher professional development materials and database through Connexions; (2) Build a learning machine to provide continuous assessment and feedback; (3) Creating lenses for different end-users; (4) Improve academic achievement of high-need students; and (5) disseminate results broadly. The program is expected to result in (1) improved student achievement; (2) decrease achievement gap between student subgroups; (3) increased quality teacher professional development on how to use data and integrate technology in classroom; and (4) Increased knowledge sharing about teaching practices. Cosmos Foundation, in partnership with Rice University and the Institute for the Study of Knowledge Management in Education will implement the proposed grant activities.""",AP2: Use of Data,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ consortium of schools,Validation,5 years,29998950,No,"Houston, TX
(29.6703, -95.5864)"
"Council for Academic Excellence, Inc.",To implement and study instructional strategies that strengthen the Standardized English proficiency of low-income and predominantly minority students at Westside High School in Macon Georgia.,Macon,GA,31201,,,,(not provided),Development,,5350486,No,"Macon, GA
(32.8338, -83.6337)"
Council for Economic Education,Economics Fellows Institute for Secondary School Teachers,New York,NY,10168,"""Brief project description including project activities: The Council for Economic Education in partnership with 20 local educational agencies (LEAs) and 8 university-based centers for economic education seeks to offer an Economics Fellows Institute in several states to train as many as 280 secondary school teachers primarily serving high need students. Over the course of three summers, the participating educators will complete rigorous course work and upon completion, will receive a MS in Economic Education that substantially deviates from traditional masters programs in that it is designed to have each cohort of 35 teachers work together over a 3 year period.  The program will have six courses designed to provide a broad understanding of basic economic concepts and an annual summer seminar course in economic education along with project work during the school year, this will be the foundation of the Fellows program. Fellows will utilize this training in their own classrooms, ultimately impacting economic and financial literacy of over 100,000 students.   The Institute will replicate, with slight modifications, a program implemented by the University of Nebraska-Lincoln from 1993-96. This initial project has been independently evaluated and has been shown to have a statistically significant impact on the economic understanding of teachers and their students.  the CEE expects to increase content knowledge of participating educators as measured by the Test of Understanding of College Economics (TUCE) or a comparable instrument by no less than 22% from the baseline at beginning of the Institute to the post assessment collected at the program completion; and to increase academic achievement in the content areas of personal finance and economics of approximately 100,000 high school students (in urban, suburban and rural LEAs) who receive instruction from teaching fellows by no less than 20% as measured by the Test of Economic Literacy or a comparable instrument. """,AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,Nonprofit w/ consortium of schools,Validation,5 years,19679212,No,"New York, NY
(40.751, -73.9772)"
Council for Opportunity in Education,Using Data to Inform College Access Programming in the 21st Century High School (Using DICAP),Washington,DC,20005,"""We are seeking validation grant funding for Using Data to Inform College Access Programming in the 21st Century High School (Using DICAP) which addresses Absolute Priority 2, 'Innovations that Improve the Use of Data,' and Competitive Preference Priority 6, 'Innovations that Support College Access and Success.'  Using DICAP combines tiered school-level and student-level interventions previously undertaken by the Council for Opportunity in Education (COE). The goal of Using DICAP is to positively impact college enrollment and success, as well as student achievement, student growth and related factors in six schools with large numbers and percentages of high need students by using targeted and whole-school interventions including data collection, data analysis, and the dissemination of analysis.  A secondary goal of Using DICAP is to validate a new model for Federal Talent Search programs that will allow these projects to meet a new legislative requirement that they provide sufficient support to allow students to succeed in rigorous secondary school curricula.  The official partners are Strong Vincent High School, East High School, and Central Technical High School in Erie City Public Schools, Erie, PA; Moore High School, Fern Creek High School, and Academy at Shawnee High School in Jefferson County Schools, Louisville, KY; Gannon University, Greater Erie Community Action Committee, and Northwest Tri-County Intermediate Unit in Erie, PA; and University of Louisville and Kentucky State University.  The GE Foundation is the corporate partner.  The anticipated number of high school students is 6,170 students over the course of the five year project.  Key outcomes: partners and stakeholders use data to reflect on the services and translate their findings into actions that can be implemented in the program; improved student academic achievement; increased graduation rates; increased college readiness, and increased college enrollment.""",AP2: Use of Data,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Validation,5 years,20264447,No,"Washington, DC
(38.9054, -77.031)"
COUNCIL OF THE GREAT CITY SCHOOLS,Implementation of Common Core State Standards in Six Urban Districts and their States,Washington,DC,20004,"""Through this project, the project partners (the Council of the Great City Schools, the Council of Chief State School Officers, the American Federation of Teachers, and the National Governors Association Center for Best Practices) intend to validate the implementation of the Common Core State Standards in six urban districts. The Common Core State Standards represent a new, evidence-based approach to describing the knowledge and skills students will need to be successful in their later years. Their development was supported by project partners and will likely be implemented in many states. This project intends to document the conditions for success and initial results in six districts. This work will include developing locally-relevant curricular and formative assessment materials based on the standards, professional development, coaching, communications, and other supports. The independent evaluation will focus on the implementation and outcomes of the project, and will consist of random assignment of schools within each district to early or later implementation status.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Validation,5 years,30000000,No,"Washington, DC
(38.8922, -77.0277)"
CPM Educational Program,Raising Achievement In a Student-centered Environment,Sacramento,CA,95822,"""A key finding in How People Learn (1999) is that student-centered classrooms positively impact studentachievement. College Preparatory Mathematics Educational Program (CPM) is proud to partner with teachersand administrators at five high schools in multiple states (WI, CA, ?) and evaluators at UC Davis on adevelopment grant for the RAISE-Math project. We will work with teachers and administrators to raise theachievement of students as we support schools transitioning their mathematics classrooms from teacher- tostudent-centered.Frequently, student-centered curricula have been implemented in hopes of changing teacher practice but thesuccess has been mixed; we propose instead to change practice prior to changing curriculum. First, teacherswill participate in professional development, including frequent coaching focused on student-centeredpractices. Each teacher will be coached once every two weeks while using the school?s standard curriculum.During the second year the student-centered CPM curriculum will be introduced with equally intensivecoaching and professional development. During the third year lead teachers from the school will be invited toattend coaching seminars allowing them to become coaches in their own districts. Throughout the project,administrators will participate in professional development aimed at understanding student-centeredclassrooms, supporting teachers and educating stakeholders.We expect several strongly favorable outcomes: participating teachers will become adept at teaching in astudent-centered way; students will demonstrate increased understanding of mathematics on state tests andproblem-based assessments; and significantly increased numbers of students will take additional mathematicsand science classes. We estimate that about 21,000 students will be impacted directly by this project. Projectimplementation will span 3 years, but data will be collected for 5 years to confirm the permanence of thechanges.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,5 years,3922926,No,"Sacramento, CA
(38.5117, -121.493)"
"Cradle Beach Camp, Inc.",Year-Round Academic Support and College Readiness Program,Angola,NY,14006,"""The proposed project will test the hypothesis, ?Students from a large urban school district will perform at or above average academically in grades 6 through 12 if provided in-class academic and social supports as well as career and leadership training throughout the year, extending the school year and promoting successful transitions from high school to college.? The goals of the proposed project are to 1st, increase the number or students scoring at or above proficiency levels on NYS exams. 2nd, reverse the downward trend of academic scores from 4th to 8th grade on NYS exams in Mathematics, ELA, and Science. 3rd, increase the career and college readiness of students as they successfully transition into the upper grades and college. As the research will demonstrate, career readiness is a key factor in the academic success of students, and in particular, collegiate success. When combined with academic supports within the classroom and a year-long connection with students and their families, the proposed program will increase academic achievement, graduation rates, college admissions, and long-term success for students while decreasing the achievement gap.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,3900316,No,"Angola, NY
(42.6341, -79.0515)"
"Crane Technologies, Inc.","The Start Up, Amp Up, Keep Up (StAK) Project",Bloomington,IN,47404,"""The Start Up, Amp Up, Keep Up (StAK) Grant is an innovation that will support effective Project Lead the Way (PLTW) teachers, principals and counselors in the State of Indiana by providing funding to rural and other, traditionally struggling, low-income public school districts for PLTW teacher training, summer internships, curriculum, equipment and materials.  Through the support of StAK Grants, the number of effective Science, Technology, Engineering and Mathematics (STEM) teachers in Indiana schools will increase and the number of Indiana public schools offering PLTW Gateway to Technology (GTT) and Pathways to Engineering (PTE) courses will rise leading to an increase in students choosing STEM careers.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,20000000,Yes,"Bloomington, IN
(39.193, -86.5759)"
Cross County School District,Arkansas i3 Grant Consortium,Cherry Valley,AR,72324,"""Arkansas i3 Consortium Grant ABSTRACT NARRATIVEType of Grant Requested:  Validation GrantBrief Project Description Including Project Activities:  By implementing levels of the New Tech Model technology model and the System for Teacher and Student Advancement (TAP) model, six school districts will be developing technology based classrooms. Project-based learning (PBL) will be the heart of this instructional approach. PBL uses technology and inquiry to engage students with issues and questions that are relevant to their lives. In these technology-based classrooms, teachers design rigorous projects aligned to state and district standards and customize them to their location and the interests of students. Students then work in teams to acquire and apply knowledge and skills to solve problems. This technological approach to PBL fundamentally changes the role of teacher and student.Project Goal:  Improve teacher and school leader effectiveness; increase student achievement.  This technologically based school model helps improve teacher and school leader effectiveness through neuroscience based professional development and educational hardware and software products. Students will be able to effectively assimilate their school curriculums, which in turn will enable them to stay in school, successfully graduate, and be adequately prepared for success in college and career.  Target Number of Students to Be Served:  7550Special Project Features:  Bring six districts together from around the state of Arkansas that represent a wide array of demographic and student diversity in order to implement a technology based program appropriate for all students everywhere.Official and Other Partners:  Benton School District, Bryant School District,  Cross County School District, Greenwood School District, Lincoln School District, Stuttgart School District, Arkansas Public School Resource Center, Apple Corporation, New Tech Network.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",LEA,Validation,5 years,30000000,No,"Cherry Valley, AR
(35.3948, -90.7966)"
Cullman County Board of Education,Cullman Engineering Academy (CEA),Cullman,AL,35055,"""There is a significant correlation between K-12 STEM programs and increased student achievement.  Data reports over the last two years show increases in student achievement, showing that students in low socio-economic communities are more likely to graduate high school and secure successful employment if they are involved in K-12 STEM programs. The STEM program will begin in kindergarten with AMSTI, Lego projects and a relevant and rigorous STEM curriculum. Students will also have opportunities to attend the Cullman Engineering Academy, CEA, which consists of two components. One, participants will receive specialized math and science instruction relating to the field of engineering. Activities include, but are not limited to: robotics, project development, team work, leadership skills, and interactive consultations with professional engineers. Technical writing skills will be integrated throughout the program. Two, students trained in various information systems such as CISCO and A-Plus may obtain certification in those systems. Seniors will present culminating team projects synthesizing both strands of instruction. Both strands of instruction will be housed together at our centrally located Cullman Area Career Center. Space and transportation of students is not an issue. The objective is to prepare Cullman Area students in grades K-12 for 21st Century careers by partnering with STEM related industries and others to provide an education grounded in research and best practice techniques. Lower grades will incorporate STEM related activities and learn STEM careers.  The program will incorporate innovative approaches that engage students in learning opportunities. Training and ongoing professional development for educators will ensure continuous improvement.  Develop a mentoring cohort and apprenticeship opportunities that will allow students to simulate engineering practices. Develop a program of excellence to attract and sustain students in STEM disciplines.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,4 years,2735448,No,"Cullman, AL
(34.174, -86.8436)"
